geo,time,value
France,2000,142501.26891
France,2001,145143.93894
France,2002,146008.4626
France,2003,145445.7004
France,2004,145615.98051000002
France,2005,143051.93903
France,2006,142371.30907999998
France,2007,140817.89722
France,2008,134414.05978
France,2009,133806.54287
France,2010,134568.30387
France,2011,135760.89526999998
France,2012,134106.01204
France,2013,133719.92634
France,2014,133208.80573000002
France,2015,134703.93937
France,2016,135112.76779
France,2017,135026.58169
France,2018,132485.01266
France,2019,131686.71516
France,2020,110668.79824
France,2021,124801.50683
France,2022,129114.45547
France,2023,123884.08032000001
France,2024,122478.79644
Germany,2000,182199.80779000002
Germany,2001,178382.03383
Germany,2002,175981.11531
Germany,2003,169135.22626
Germany,2004,169054.99610999998
Germany,2005,162363.46126
Germany,2006,163738.13456
Germany,2007,153608.12467000002
Germany,2008,153257.22412
Germany,2009,152778.01539000002
Germany,2010,153254.86176
Germany,2011,154959.10429999998
Germany,2012,153492.05872
Germany,2013,157679.8223
Germany,2014,159007.27843
Germany,2015,162500.06773
Germany,2016,165117.50254999998
Germany,2017,168716.16762
Germany,2018,164148.31433
Germany,2019,164997.25242
Germany,2020,146819.50282999998
Germany,2021,147807.18953
Germany,2022,149565.08567
Germany,2023,145572.47705
Germany,2024,145011.01614999998
Netherlands,2000,33143.29018
Netherlands,2001,33450.64723
Netherlands,2002,34203.44928
Netherlands,2003,34755.21049
Netherlands,2004,35338.6033
Netherlands,2005,35581.90636
Netherlands,2006,36491.70525
Netherlands,2007,35492.34689
Netherlands,2008,35732.41672
Netherlands,2009,34175.761620000005
Netherlands,2010,34973.06813
Netherlands,2011,34894.059199999996
Netherlands,2012,33382.52918
Netherlands,2013,31853.441619999998
Netherlands,2014,29265.336099999997
Netherlands,2015,29083.89484
Netherlands,2016,29158.15903
Netherlands,2017,29920.17028
Netherlands,2018,30077.717669999998
Netherlands,2019,29621.02143
Netherlands,2020,25070.615569999998
Netherlands,2021,25270.12488
Netherlands,2022,25051.46644
Netherlands,2023,26284.808549999998
Netherlands,2024,25155.07995
Poland,2000,28890.52166
Poland,2001,28687.568909999998
Poland,2002,27693.1655
Poland,2003,29822.00221
Poland,2004,33730.837139999996
Poland,2005,36214.02785
Poland,2006,40083.09305
Poland,2007,44233.21903
Poland,2008,46220.71454
Poland,2009,46822.69592
Poland,2010,49330.81153
Poland,2011,49927.81794
Poland,2012,48015.127160000004
Poland,2013,45169.033910000006
Poland,2014,45540.16467
Poland,2015,48025.49752
Poland,2016,54720.30564
Poland,2017,63135.172099999996
Poland,2018,64961.0962
Poland,2019,65954.75886999999
Poland,2020,62954.121230000004
Poland,2021,68172.09399000001
Poland,2022,68157.7897
Poland,2023,69157.69861
Poland,2024,70079.64964
Spain,2000,86581.05456
Spain,2001,90418.78846000001
Spain,2002,92157.42536
Spain,2003,96689.70311
Spain,2004,100360.52025999999
Spain,2005,102944.47163
Spain,2006,106238.94281
Spain,2007,108590.33185
Spain,2008,102651.38884
Spain,2009,95352.96771000001
Spain,2010,92008.1162
Spain,2011,86805.46875
Spain,2012,79615.94641
Spain,2013,80418.08775
Spain,2014,80702.70208
Spain,2015,83851.47771
Spain,2016,86738.38173
Spain,2017,89324.72549000001
Spain,2018,90382.04175
Spain,2019,91521.5301
Spain,2020,73918.75491
Spain,2021,85571.27579
Spain,2022,90536.30586000001
Spain,2023,87784.91722
Spain,2024,90464.38401
