freq,tra_type,tra_oper,unit,geo,time,value
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Germany,2000,280708
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Germany,2001,288964
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Germany,2002,285214
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Germany,2003,290745
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Germany,2004,303752
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Germany,2005,310103
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Germany,2006,330016
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Germany,2007,343447
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Germany,2008,341532
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Germany,2009,307547
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Germany,2010,313104
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Germany,2011,323833
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Germany,2012,307009
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Germany,2013,305744
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Germany,2014,310142
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Germany,2015,314816
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Germany,2016,315774
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Germany,2017,313149
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Germany,2018,316772
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Germany,2019,311875
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Germany,2020,304613
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Germany,2021,307272
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Germany,2022,303948
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Germany,2023,286408
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Germany,2024,280840
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),France,2000,203999
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),France,2001,206870
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),France,2002,204359
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),France,2003,203608
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),France,2004,212201
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),France,2005,205284
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),France,2006,211445
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),France,2007,219212
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),France,2008,206304
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),France,2009,173621
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),France,2010,182193
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),France,2011,185685
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),France,2012,172445
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),France,2013,171472
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),France,2014,165225
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),France,2015,153580
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),France,2016,155843
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),France,2017,167691
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),France,2018,171875
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),France,2019,174061
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),France,2020,169663
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),France,2021,174853
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),France,2022,173353
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),France,2023,169240
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),France,2024,174015
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Spain,2000,148717
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Spain,2001,161045
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Spain,2002,184549
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Spain,2003,192596
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Spain,2004,220822
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Spain,2005,233230
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Spain,2006,241788
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Spain,2007,258875
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Spain,2008,242983
