country,year,letter_mail_per_inhabitant,parcel_per_inhabitant
France,2012,7649844.69,0.0
France,2013,7126635.135,0.0
France,2014,6785911.055,81937.2325
France,2015,6400102.8,163874.465
France,2016,6018590.315,220503.31
France,2017,5644084.48,253003.785
France,2018,5036075.135,171236.555
France,2019,4699069.83,439506.53
France,2020,3830556.77,511007.575
France,2021,3816556.35,593508.765
France,2022,3627053.265,583508.57
France,2023,3188546.7,605508.87
France,2024,2901542.255,627509.14
Germany,2012,7485093.18,1092513.6
Germany,2013,7385091.71,1142014.18
Germany,2014,7293090.295,1230348.4933333334
Germany,2015,7294089.83,1318682.8066666666
Germany,2016,,1407017.12
Germany,2017,7887493.58,1224014.83
Germany,2018,7442780.895,1323314.985
Germany,2019,7059401.03,1499898.065
Germany,2020,6444402.985,1939074.815
Germany,2021,6394253.395,2069533.885
Germany,2022,6255122.145,1948385.405
Germany,2023,5719809.315,1966000.155
Germany,2024,5273892.695,2061321.7
Netherlands,2012,,0.0
Netherlands,2013,,0.0
Netherlands,2014,,93605.56
Netherlands,2018,1172568.245,174910.18
Netherlands,2019,1086799.88,199286.53
Netherlands,2020,1008787.95,262258.565
Netherlands,2021,999980.72,326997.71
Netherlands,2022,930552.895,305517.365
Netherlands,2023,895722.785,311517.49
Netherlands,2024,811726.735,302885.38
Poland,2012,909907.405,41229.585
Poland,2013,900574.16,91298.4
Poland,2014,831821.38,104896.26
Poland,2015,833858.94,114966.525
Poland,2016,760598.535,135543.57
Poland,2017,711962.75,156373.62
Poland,2018,723672.055,183116.32
Poland,2019,663819.48,219434.28
Poland,2020,571082.045,316579.84
Poland,2021,534426.915,383126.835
Poland,2022,492282.345,443975.535
Poland,2023,456139.41,506768.29
Poland,2024,433688.34,588504.07
Spain,2013,1571892.4305,105218.25
Spain,2014,1498863.235,81329.75
Spain,2015,1907715.6,140519.25
Spain,2016,1683604.16,150046.24000000002
Spain,2017,1481523.255,172978.36000000002
Spain,2018,1338874.8,188452.49
Spain,2019,1119834.405,196341.42
Spain,2020,866934.1549999999,242715.635
Spain,2021,804446.53,341050.68
Spain,2022,700368.96,323953.795
Spain,2023,630554.4349999999,361983.72
Spain,2024,592122.125,405581.1750000001
