freq,unit,hazard,wst_oper,waste,geo,time,value,value_mt
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,Germany,2010,150504040,150.50404
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,Germany,2012,152807322,152.807322
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,Germany,2014,158205269,158.205269
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,Germany,2016,163716974,163.716974
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,Germany,2018,165726249,165.726249
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,Germany,2020,167898701,167.898701
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,Germany,2022,163573730,163.57373
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,France,2010,159002410,159.00241
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,France,2012,151724096,151.724096
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,France,2014,160490841,160.490841
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,France,2016,167787097,167.787097
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,France,2018,181601673,181.601673
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,France,2020,134035273,134.035273
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,France,2022,154253222,154.253222
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,Spain,2010,74575394,74.575394
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,Spain,2012,48745406,48.745406
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,Spain,2014,37298137,37.298137
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,Spain,2016,39581445,39.581445
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,Spain,2018,47245055,47.245055
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,Spain,2020,47288772,47.288772
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,Spain,2022,48946006,48.946006
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,Netherlands,2010,57964213,57.964213
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,Netherlands,2012,59880430,59.88043
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,Netherlands,2014,59257658,59.257658
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,Netherlands,2016,63770231,63.770231
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,Netherlands,2018,63157367,63.157367
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,Netherlands,2020,60225123,60.225123
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,Netherlands,2022,62997991,62.997991
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,Poland,2010,76839519,76.839519
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,Poland,2012,80940971,80.940971
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,Poland,2014,92126196,92.126196
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,Poland,2016,75229503,75.229503
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,Poland,2018,80567405,80.567405
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,Poland,2020,49654866,49.654866
Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Total waste,Poland,2022,45369562,45.369562
